direction,boro,lot_face_length_error
209.00443465,1,0
118.98587257,1,0
298.22174331,1,2
118.84326187,1,0
28.96219685,1,0
208.6876504,1,0
298.88737921,1,0
29.12121896,1,0
118.85948639,1,0
118.89301382,1,0
209.21788374,1,0
328.30437583,1,0
208.94874357,1,0
231.43430959,1,0
299.00730174,1,0
150.29833555,1,0
298.90228309,1,0
183.46674282,1,0
298.81503739,1,0
208.93508492,1,0
209.07774661,1,0
209.01935151,1,0
299.00789965,1,0
130.9919529,1,2
298.99474808,1,0
118.98420454,1,0
118.99205803,1,0
29.09830591,1,0
208.96191746,1,0
299.07770182,1,0
118.93523498,1,2
209.0983609,1,0
118.45072117,1,0
118.96807365,1,0
119.00529676,1,0
28.93478606,1,0
263.54289479,5,0
299.10795175,1,0
298.92980088,1,0
29.11812962,1,0
298.9217067,1,0
118.95054512,1,0
118.80937733,1,0
300.86697955,1,0
118.78087311,1,0
28.9154979,1,0
29.0576735,1,0
208.96207188,1,0
299.0666445,1,0
29.00623042,1,0
28.96193379,1,0
118.97236307,1,0
298.92544792,1,0
209.12122721,1,0
208.55461006,1,0
298.99733373,1,0
29.0486708,1,0
29.12136286,1,0
28.96191746,1,0
28.93466298,1,0
208.93486075,1,0
209.01114019,1,0
208.79757317,1,0
119.02659439,1,0
209.00422157,1,0
299.08430043,1,0
299.0665792,1,0
119.02891038,1,0
208.990717,1,0
28.80193925,1,0
208.80758004,1,0
209.05779359,1,0
298.97247378,1,0
29.04806211,1,0
29.01286114,1,0
28.55461006,1,0
299.00552846,1,0
299.75476828,1,2
275.77921181,4,2
357.47162498,1,0
299.24750488,1,0
29.17119862,1,0
28.89606351,1,0
209.00410728,1,0
209.1727774,1,0
118.99702303,1,0
209.00421361,1,0
118.95577796,1,0
209.00430615,1,0
298.89216066,1,0
209.12138523,1,0
118.92072366,1,0
209.12118652,1,0
209.13684985,1,2
28.81878124,1,2
299.06375291,1,0
118.90022721,1,0
29.04799366,1,0
298.94833559,1,0
298.87939468,1,0
118.9711136,1,0
19.45540669,1,0
28.68751538,1,0
119.03245183,1,0
298.86345685,1,0
118.98464058,1,0
208.9349438,1,0
29.17231914,1,0
208.86669329,1,0
118.99745936,1,0
298.96207135,1,0
298.97313488,1,0
28.8664422,1,0
299.01488903,1,0
118.79188015,1,0
29.0056891,1,0
298.9990748,1,0
209.09862297,1,0
173.87792326,4,0
29.19852801,1,0
31.41318984,1,0
209.00413112,1,0
118.75281579,1,0
298.88740777,1,0
208.91180897,1,0
28.86635814,1,0
298.91873274,1,0
29.00434686,1,0
29.26735642,1,0
29.40649196,1,0
29.00983097,1,0
298.75258939,1,0
28.86637354,1,0
118.91884831,1,0
119.10804345,1,0
208.86650456,1,0
298.88754515,1,2
298.94050141,1,0
298.99445005,1,0
211.33083236,1,2
119.14469022,1,0
29.00475629,1,0
28.91581024,1,0
298.90271938,1,0
118.92490388,1,0
119.08354494,1,0
119.03503748,1,0
298.68146929,1,0
119.10262128,1,0
298.8875542,1,0
118.92890938,1,0
313.13811026,1,0
19.45524488,1,0
208.98784624,1,0
342.85614134,1,0
29.04792778,1,0
298.92574478,1,0
28.7226092,1,0
298.93731893,1,0
156.46852139,1,2
298.93549219,1,2
118.95738995,1,0
118.9929009,1,0
208.96196228,1,0
209.27569265,1,0
208.86584344,1,0
118.92108161,1,0
28.65295948,1,0
298.97048305,1,0
298.99305834,1,0
29.04820791,1,0
119.01452248,1,0
118.79670459,1,0
217.38917145,1,0
28.93489683,1,0
208.93954642,1,0
298.97376481,1,0
29.00433953,1,0
118.93744774,1,0
208.86656588,1,0
121.96648588,1,0
118.89300105,1,0
298.75351314,1,0
298.94453967,1,2
119.08336514,1,0
29.24182802,1,0
28.82022653,1,0
299.0563949,1,0
298.94075599,1,0
118.93689601,1,0
299.07765457,1,0
28.97553767,1,2
29.19083974,1,0
298.97243301,1,0
118.79750847,1,0
118.91858803,1,0
119.102293,1,0
246.90985629,2,0
208.93530887,1,0
209.29954215,1,0
