distance,bbl,block,lot_uuid
18.51989531,1019430048,1943,0bfe6a8c-a8fb-48f9-bc69-dff0815f1156
15.50489739,1019120057,1912,d4f3eaa7-ada1-4b2f-9360-6de7f207e412
101.32676398,1013510001,1351,285516d0-2ece-4b4b-8429-8c1711f37fbf
16.52239773,1019370025,1937,b9cf3525-cae7-49e3-835a-fa8b8ac9a40a
17.62993365,1019420108,1942,e414f344-c383-4f59-ae6e-749c4ea43d08
79.71576316,1013390001,1339,5920ff37-535c-48b3-b9a5-df8d8f1dad1d
102.37003716,1017950022,1795,97c5f40c-6a02-4ee9-99d8-1f5c553ff7bb
35.58154769,1017520016,1752,48e52560-768b-42f5-9862-40fc752ea015
103.00563523,1017100010,1710,a93631c1-4373-4175-98be-3e23639bf058
339.55219683,1013480049,1348,1723331d-060a-4263-b7aa-1121254998db
101.3722625,1019420016,1942,25523a58-e55e-4d6c-9b1c-153c75febe6d
16.17998324,1017960142,1796,cec8e140-6d0c-440a-9f41-fea8ae474192
101.9735552,1019380036,1938,fc82279b-b4bf-4d8f-8566-ca0d03b1f0ad
239.72136967,1018210031,1821,fdb355bb-2ee5-4b90-a723-78443078cd09
81.81714387,1019260060,1926,0b5753d1-34d3-49d8-880c-b4d9c2805f6d
19.17957495,1013510016,1351,f8c53683-db92-4278-8053-fe472faf3a58
78.65046845,1013480036,1348,ba79314d-5649-49fa-8ed8-f27d2bedef09
49.0010075,1018600011,1860,1588bb96-78e1-4912-ab9d-686843e3d120
49.41954793,1017270012,1727,2f3ceda2-c31d-4b5d-946e-39db1d074649
47.96129078,1018210046,1821,5fe985af-f1b7-4b62-8522-b7003918d0cd
19.45717579,1019390033,1939,868cfd50-8a83-4d7f-8115-09b69a2518bd
79.90042838,1017770080,1777,3b946f79-5e77-4546-9745-fd24c77791e0
55.67643756,1012810001,1281,cf82772d-e1a3-4123-ab90-a5a8a4875b1c
103.22342599,1017960112,1796,1f8433fa-4138-4ad1-ba45-f2d5f82d6722
28.25490139,1013640005,1364,78610df8-1b0b-4862-b55a-154f1460e12d
101.90430978,1013220035,1322,e8e1926e-0164-4063-84ee-e7b1bbedb73e
72.32890737,1013250130,1325,8280f53b-ad85-4ca7-a69b-6aa887b5bb77
103.34061894,1019070048,1907,f85243d3-5ecf-4fa9-9fe0-270fd4080f41
412.46971866,1013600001,1360,c03248a2-e1a7-44db-b923-798643aa6a27
102.58390587,1018460057,1846,a3618543-433c-47b2-845e-e1ad77c87f99
58.37630374,1017260039,1726,e8174127-c684-427a-97ad-37824df63bf9
