the_geom,direction,shape_length,lot,source,tax_lot_face_type
"{'type': 'MultiLineString', 'coordinates': [[[-73.974895950049, 40.751435864626], [-73.974719247921, 40.751361245433]]]}",119.02659439,22.52014237523201,31,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94625089063, 40.813152386489], [-73.946303078136, 40.813174395986]]]}",298.9990748,6.650551448425446,25,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.942366063725, 40.811675670218], [-73.942336081271, 40.811716691338], [-73.942308420937, 40.811754537638]]]}",29.00623042,13.25637432217837,3,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946587630803, 40.813614967429], [-73.946766605359, 40.813369885477]]]}",208.98784624,41.18711236068252,118,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947830912689, 40.806979026903], [-73.948012642037, 40.806731266916]]]}",209.0983609,41.67708518512397,48,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944459872005, 40.815073600389], [-73.944492592452, 40.815028963524], [-73.944557785074, 40.814940027622], [-73.944593291417, 40.81489158863]]]}",209.07774661,30.615523406241923,128,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.802440625129, 40.76831554176], [-73.802446048001, 40.768315968436]]]}",275.77921181,0.6069202465878221,6,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.954171390349, 40.805804088607], [-73.953916753708, 40.805697670586]]]}",118.78087311,32.379595146845695,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944439764445, 40.81690540676], [-73.944617183942, 40.816661997013]]]}",208.93954642,40.88967878678421,16,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944238873084, 40.808594883335], [-73.944266202173, 40.80855768775]]]}",209.13684985,6.25951546470414,4,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.957059873035, 40.805937545394], [-73.957240028494, 40.805690914163]]]}",209.00421361,41.44646925830472,58,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.95520475168, 40.805500217218], [-73.955120678397, 40.805615442962]]]}",28.97553767,19.35855230261999,36,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956299890438, 40.806116862701], [-73.956119526719, 40.806363769915]]]}",29.00433953,41.49341126705146,51,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.941219805211, 40.810035490612], [-73.941142368146, 40.810002862234]]]}",118.97236307,9.866000677403033,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.923282352004, 40.790837627869], [-73.923342060883, 40.790985197713], [-73.923431201549, 40.791205504479], [-73.923531423162, 40.791453193119]]]}",342.85614134,94.6611509074644,40,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945358299596, 40.809511890486], [-73.946307560689, 40.809910664124]]]}",298.90228309,120.85627932525196,12,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967615449187, 40.747889037216], [-73.967873124693, 40.747994302565]]]}",298.22174331,32.588901263802505,50,1,0
