principal_officer_full_name,principal_officer_title,principal_officer_contact
Robert Holbrook,Executive Director,
,,
Elijah Hutchinson,Executive Director,{'url': 'https://climate.cityofnewyork.us/contact-us/'}
Deborah Maher,President,
Katherine E. Brown,Executive Director,
Kelly Moan,Chief Information Security Officer,{'url': 'https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer'}
Laurie Cumbo,Commissioner,{'url': 'https://www.nyc.gov/site/dcla/about/email-the-commissioner.page'}
Trey Moynihan,Executive Director,{'url': 'https://www.nyc.gov/content/mospce/pages/contact-us'}
Jasmine Georges-Yilla,Executive Director,{'url': 'https://www.nyc.gov/site/boc/about/contact-the-executive-director.page'}
James Hendon,Commissioner,{'url': 'https://www.nyc.gov/site/veterans/contact/contact.page'}
Anthony Miranda,Sheriff,{'url': 'https://www.nyc.gov/site/finance/about/contact-us.page'}
Zachary Iscol,Commissioner,{'url': 'https://www.nyc.gov/site/em/contact/email-the-commissioner.page'}
Melinda Katz,District Attorney,{'url': 'https://queensda.org/contact-us/'}
Eric Enderlin,President,{'url': 'https://www.nychdc.com/contact'}
Atiba T. Edwards,President and CEO,
Qiana Mickie,Director,{'url': 'https://www.nyc.gov/site/agriculture/contact/contact.page'}
Donovan J. Richards Jr.,Queens Borough President,{'url': 'https://www.queensbp.nyc.gov/'}
Paul S. Ryan,Executive Director,{'url': 'http://www.nyccfb.info/about/contact'}
Jason Graham,Chief Medical Examiner,
,,
Bridget G. Brennan,Special Narcotics Prosecutor,
Dynishal Gross,Commissioner,{'url': 'https://www.nyc.gov/site/sbs/about/email-the-commissioner.page'}
Lindsay Greene,Chief Executive Officer & President,{'url': 'https://www.brooklynnavyyard.org/'}
Antonio Reynoso,Brooklyn Borough President,{'url': 'https://www.brooklynbp.nyc.gov/contact/'}
Camille Joseph Varlack,Deputy Mayor for Administration and Chief of Staff,
,,
Jean-Claude LeBec,Director,
Leonard Jacobs,Executive Director,
Dan Garodnick,Chair and Director,
Joseph Morrisroe,Deputy Commissioner,
Ray B. Oladapo-Johnson,President & Executive Director,
David Do,Commissioner and Chair,{'url': 'https://www.nyc.gov/site/tlc/about/email-the-commissioner.page'}
Julie Coker,President and CEO,
,,
"Kerry D. Archer, ESQ",Public Administrator,{'url': 'https://www.nyc.gov/site/kcpa/contact/contact.page'}
Michael McSweeney,City Clerk and Clerk of the Council,
Jonathan Darche,Executive Director,{'url': 'https://www.nyc.gov/site/ccrb/about/contact/email-executive-director.page'}
Michael J. Ryan,Executive Director,{'url': 'https://vote.nyc/page/contact-us'}
Bryan Berge,Chief Pension Administrator,
Jessica Baker Vodoor,President & CEO,
,,
Nathifa Forde,Executive Director,{'url': 'https://www.nyc.gov/content/nycherfuture/pages/get-involved'}
,,
Richard Scheer,Executive Director,
Michael E. McMahon,District Attorney,{'url': 'https://www.statenislandda.org/contact/'}
Raymond Codrington,CEO,
,Executive Director,{'url': 'https://www.nyc.gov/site/ymi/contact/contact.page'}
Ahsia Badi,Executive Director,{'url': 'https://www.nyc.gov/site/childrenscabinet/contact-us/contact-us.page'}
Jessica B. Phillips,Chief Executive Officer,
Kate MacKenzie,Executive Director,{'url': 'https://www.nyc.gov/site/foodpolicy/about/contact.page'}
,,
,,
Kayla Mamelak Altus,Press Secretary,
,,
Denise Felipe-Adams and Jonathan Salomons,,
,,
,,
,,
Jennifer Bernstein,CEO & The William C. Steere Sr. President,
Shamim M. Momin,Director & Chief Curator,
Lisa Bova-Hiatt,Chief Executive Officer,{'url': 'https://www.nyc.gov/site/nycha/about/contact.page'}
Daniel Steinberg,Director,{'url': 'https://www.nyc.gov/site/operations/about/email-the-director.page'}
Linda Tigani,Chair & Executive Director,{'url': 'https://www.nyc.gov/content/core/pages/contact-us'}
Melissa Aviles-Ramos,Chancellor,{'url': 'https://www.schools.nyc.gov/get-help'}
Eduardo del Valle,Acting Commissioner,{'url': 'https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Thomas%20Foley'}
Wynton Marsalis,Managing and Artistic Director,
Molly Schaeffer,Executive Director,{'url': 'https://www.nyc.gov/site/asylumseekers/contact/contact-office-of-asylum-seeker-operations.page'}
Mir Bashar,Chief Administrative Officer,
,,
,,
Ellen Kodadek,Executive and Artistic Director,
Jeffrey Garcia,Executive Director,
Clare Newman,President and CEO,{'url': 'https://www.govisland.com/about'}
Janno Lieber,Chair and Chief Executive Officer,
Glenn D. Lowry,David Rockefeller Director,
Carlo Costanza,Executive Director,{'url': 'https://www.nyc.gov/site/bsa/contact-bsa/contact-the-bsa.page'}
,,
Lisa J. Gugenheim,CEO and President,
Pauline Toole,Commissioner,{'url': 'https://www.nyc.gov/site/records/about/email-the-commissioner.page'}
Ayanna Sorett,Executive Director,{'url': 'https://www.nyc.gov/site/macj/about/contact-acj.page'}
Annabel Palma,Chair and Commissioner,{'url': 'https://www.nyc.gov/site/cchr/about/email-the-commissioner.page'}
Michael S. Rosenberg,President & CEO,
Eva Wong,Director,{'url': 'https://mentalhealth.cityofnewyork.us/contact-us'}
Rohit Aggarwala,Chief Climate Officer,
Javier Lojan,Acting Commissioner,{'url': 'https://www.nyc.gov/site/dsny/about/contact.page'}
Molly Wasow Park,Commissioner,{'url': 'https://www.nyc.gov/assets/home/mail/html/mailhra.html'}
Stephen Cockrell,Chief Executive Officer,
Vlada Kenniff,President,
David Womack,President,
Scott French,Administrator,{'url': 'https://www.nyc.gov/assets/home/mail/html/mailhra.html'}
,,
Danielle S. Powell,Public Administrator,{'url': 'https://www.nyc.gov/site/bronxpa/contact/contact.page'}
Jessica Mofield,,
,,
Jeanny Pak,President,
,,
"Martha Cruz, Esq",Executive Director / General Counsel,{'url': 'https://www.nyc.gov/site/loftboard/about/contact-us.page'}
,,
,,
Sideya Sherman,Chief Equity Officer & Commissioner,{'url': 'https://www.nyc.gov/site/equity/contact/contact.page'}
Jimmy Oddo,Commissioner,{'url': 'https://www.nyc.gov/assets/home/mail/html/maildob.html'}
Alec Schierenbeck,Executive Director,{'url': 'https://www.nyc.gov/site/charter/contact/contact-charter.page'}
Kevin Holloran,Executive Director,{'url': 'https://www.nyc.gov/content/nycppf/pages/contact-the-fund'}
Rebecca Pellegrini,President,
Aissata M.B. Camara,Commissioner,{'url': 'https://www.nyc.gov/site/international/contact/email-the-office.page'}
Crystal Price,Chief Engagement Officer,{'url': 'https://www.nyc.gov/content/engagement/pages/contact-us'}
Jennifer Maldonado,Chief Executive Officer,
Anastasia Coleman,Special Commissioner,{'url': 'https://nycsci.org/contact-us/'}
Adolfo Carrión Jr.,Deputy Mayor for Economic and Workforce Development,
Ana Almanzar,Deputy Mayor for Strategic Initiatives,
Thelma Golden,Ford Foundation Director and Chief Curator,
Louis Molina,Commissioner,{'url': 'https://www.nyc.gov/site/dcas/about/email-the-commissioner.page'}
David Womack,Chief Executive Officer,{'url': 'https://www.nyc.gov/site/nyw/about/contact.page'}
Suzanne Miles-Gustave,Deputy Mayor for Health and Human Services,
Pastor Gilford Monrose,Executive Director,
Ahmed Tigani,Acting Commissioner,{'url': 'https://www.nyc.gov/site/hpd/contact/email-the-commissioner.page'}
Edwina Frances Martin,Public Administrator,{'url': 'https://www.nyc.gov/site/rcpa/contact/contact.page'}
Margaret Turner,Senior Deputy Director,
Kim Yu,Director,{'url': 'https://www.nyc.gov/site/mocs/about/contact-mocs.page'}
Evie Hantzopoulos,Executive Director,
Alexandra Silver,Director,{'url': 'https://www.nyc.gov/site/animalwelfare/about/contact-us.page'}
Matt Berlin,CEO,
Amber Cartwright,Executive Director,{'url': 'https://www.nyc.gov/site/childcare/contact/contact-us.page'}
Christian J. Klossner,Executive Director,{'url': 'https://www.nyc.gov/site/specialenforcement/about/contact-us.page'}
,,
Elizabeth L. Hillman,President and CEO,
,,
Adam F. Falk,President and CEO,
Lynelle Maginley-Liddie,Commissioner,{'url': 'https://www.nyc.gov/site/doc/about/contact-the-commissioner.page'}
Kaz Daughtry,Deputy Mayor for Public Safety,
,,
Carson Hicks,Executive Director,{'url': 'https://www.nyc.gov/site/opportunity/about/contact-us.page'}
Kate Smith,Executive Director,{'url': 'https://www.nyc.gov/site/fund/about/contact.page'}
,"Director, Policy and Planning",
Janice Monger,President & Chief Executive Officer,
Jack Kliger,President & CEO,
David Womack,President,{'url': 'https://www.nyc.gov/site/starcorp/about/contact-the-star.page'}
Jeanne M. Victor,Executive Director,{'url': 'https://www.nyc.gov/site/eepc/about/email-the-executive-director.page'}
Juanita Holmes,Commissioner,{'url': 'https://www.nyc.gov/site/probation/about/email-the-commissioner.page'}
Eric L. Adams,Mayor,{'url': 'https://www.nyc.gov/office-of-the-mayor/contact-the-mayor.page'}
,Associate Director for Digital Communications,
Michael Fitzpatrick,Chief Privacy Officer,{'url': 'https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer'}
Ronald Porcelli,Director,{'url': 'https://www.nyc.gov/content/unityproject/pages/contact'}
Ydanis Rodriguez,Commissioner,{'url': 'https://www.nyc.gov/html/dot/html/contact/contact-form.shtml'}
Jeffrey D. Roth,Deputy Mayor for Operations,
,,
Mark D. Levine,Manhattan Borough President,{'url': 'https://www.manhattanbp.nyc.gov/connect/'}
Michelle Morse,Acting Health Commissioner and Chief Medical Officer,{'url': 'https://www.nyc.gov/assets/home/mail/html/maildoh.html'}
,,
Mark Guerra,Commissioner,{'url': 'https://www.nyc.gov/site/fdny/about/overview/leadership/email-the-commissioner.page'}
,,{'url': 'https://www.nyc.gov/site/officeconversions/contact/contact.page'}
,,{'url': 'https://www.nyc.gov/site/cau/community-boards/community-boards.page'}
Gary Hermalyn,CEO,
Khady Kamara Nunez,Executive Director,
Tiffany Raspberry,Deputy Mayor for Intergovernmental Affairs,{'url': 'https://www.nyc.gov/site/intergovernmental/about/contact-moiga.page'}
Rudy S. Giuliani,Executive Director,{'url': 'https://www.nyc.gov/site/housingrecovery/about/contacts.page'}
Louisa Chafee,Director,{'url': 'https://www.ibo.nyc.ny.us/aboutStaffDirectory.html'}
,,
,,
Rohit Aggarwala,Commissioner,{'url': 'https://www.nyc.gov/site/dep/about/email-the-commissioner.page'}
Jess Dannhauser,Commissioner,{'url': 'https://www.nyc.gov/site/acs/about/contact-acs.page'}
LeRoy McGinnis,Executive Director,
Marjorie Sweeney,Chief Speechwriter,
Dina Rosenthal,Executive Director,
Randy Mastro,First Deputy Mayor,
Renee Campion,Commissioner,{'url': 'https://www.nyc.gov/site/olr/about/about-contact-olr.page'}
Sir Clive Gillinson,Executive and Artistic Director,
Elizabeth Crotty,Commissioner/Chair,{'url': 'https://www.nyc.gov/site/bic/contact/email-the-commissioner.page'}
Fred Kreizman,Commissioner,{'url': 'https://www.nyc.gov/site/cau/connected/contact-cau.page'}
Fabien Levy,Deputy Mayor for Communications,
Asim Rehman,Commissioner and Chief Administrative Law Judge,{'url': 'https://www.nyc.gov/site/oath/about/contact-the-commissioner-online-form.page'}
Dawn Tolson,Director,{'url': 'https://www.nyc.gov/site/cecm/about/contact-cecm.page'}
Allison Stoddart,Chief Counsel to the Mayor and City Hall,
Amanda M. Wismans,Executive Director and General Counsel,{'url': 'https://www.nyc.gov/site/csc/about/send-a-message-to-chair.page'}
Neil Matthew,Executive Director,{'url': 'https://www.nyc.gov/site/opa/about/email-the-office.page'}
Taryn Sacramone,Executive Director,
,Director,
Dawn Baskerville,Director,
Connie Butler,The Agnes Gund Director,
,Executive Director,{'url': 'https://www.nyc.gov/site/partnerships/contact/contact-strategic-partnerships.page'}
Joslyn Carter,Administrator,{'url': 'https://www.nyc.gov/assets/home/mail/html/maildhs.html'}
,,
,Director,
Nina Kubota,President and CEO,{'url': 'https://www.nycsca.org/Footer/Contact-Us'}
Ya-Ting Liu,Chief Public Realm Officer,{'url': 'https://www.nyc.gov/site/publicrealm/contact-us/contact-public-realm.page'}
Morgan Monaco,President and Park Administrator,
Michael Garner,Citywide Chief Business Diversity Officer,{'url': 'https://www.nyc.gov/assets/mwbe/?page=contact-us'}
Doug Lipari,Executive Director,{'url': 'https://www.nyc.gov/site/wkdev/about/contact.page'}
Kewsong Lee,Artistic Director,
Jocelyn Strauber,Commissioner,{'url': 'https://www.nyc.gov/site/doi/contact/contact-doi.page'}
Saloni Sethi,Commissioner,{'url': 'https://www.nyc.gov/site/ocdv/about/contact-endgbv.page'}
Denise Clay,Chief Efficiency Officer,
Pat Swinney Kaufman,Commissioner,{'url': 'https://www.nyc.gov/site/mome/about/email-the-commissioner.page'}
Preston Niblack,Commissioner,{'url': 'https://www.nyc.gov/site/finance/about/contact-by-email/contact-us-general-correspondence.page'}
,,
Elizabeth Reyes,Interim Executive Director,{'url': 'https://mynycers.nycers.org/MyNYCERS/s/ED-Correspondence'}
Patricia Reilly,Executive Director,{'url': 'https://www.trsnyc.org/memberportal/Resources/ResContactUs'}
,Executive Director,{'url': 'https://www.nyc.gov/site/ccpc/about/email-the-chairperson.page'}
,,
Marek Tyszkiewicz,Chief Actuary,{'url': 'https://www1.nyc.gov/site/actuary/contactus/email-the-office.page'}
