url,reports_to
{'url': 'https://www.nyc.gov/site/probation/index.page'},Deputy Mayor for Public Safety
{'url': 'https://www.nyc.gov/office-of-the-mayor/index.page'},
,Deputy Mayor for Communications
{'url': 'https://www.nyc.gov/content/oti/pages/meet-the-team/information-privacy'},Office of Technology and Innovation
{'url': 'https://www.nyc.gov/content/unityproject/pages/'},Mayor's Office of Equity and Racial Justice
{'url': 'https://www.nyc.gov/html/dot/html/home/home.shtml'},Deputy Mayor for Operations
,First Deputy Mayor
{'url': 'https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page'},
{'url': 'https://www.manhattanbp.nyc.gov/'},
{'url': 'https://www.nyc.gov/site/doh/index.page'},Deputy Mayor for Health and Human Services
{'url': 'https://edc.nyc/build-nyc'},
{'url': 'https://www.nyc.gov/site/fdny/index.page'},Deputy Mayor for Public Safety
{'url': 'https://www.nyc.gov/site/officeconversions/index.page'},
{'url': 'https://www.nyc.gov/site/communityboards/index.page'},
{'url': 'https://bronxhistoricalsociety.org'},
{'url': 'https://pacnyc.org/'},
{'url': 'https://www1.nyc.gov/site/intergovernmental/index.page'},Mayor
{'url': 'https://www1.nyc.gov/site/housingrecovery/index.page'},Deputy Mayor of Housing Economic and Workforce Development
{'url': 'https://www.ibo.nyc.ny.us/'},
{'url': 'https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page'},
{'url': 'https://www.nyc.gov/site/youthemployment/index.page'},
{'url': 'https://www.nyc.gov/site/dep/index.page'},Deputy Mayor for Operations
{'url': 'https://www.nyc.gov/site/acs/index.page'},Deputy Mayor for Health and Human Services
{'url': 'https://nycfirepension.org/'},
,Director of Communications
{'url': 'https://www.sichildrensmuseum.org/'},
,Mayor
{'url': 'https://www1.nyc.gov/site/olr/index.page'},Chief Counsel to the Mayor and City Hall
{'url': 'https://www.carnegiehall.org/'},
{'url': 'https://www.nyc.gov/site/bic/index.page'},Chief Counsel to the Mayor and City Hall
{'url': 'https://www.nyc.gov/site/cau/index.page'},Mayor's Office of Civic Engagement
,Mayor
{'url': 'https://www.nyc.gov/site/oath/index.page'},Chief Counsel to the Mayor and City Hall
{'url': 'https://www.nyc.gov/site/cecm/index.page'},Deputy Mayor for Administration and Chief of Staff
,Mayor
{'url': 'https://www.nyc.gov/site/csc/index.page'},
{'url': 'https://www.nyc.gov/site/opa/index.page'},Office of the Mayor;Office of the New York City Comptroller
{'url': 'https://queenstheatre.org/'},
,Deputy Mayor for Administration and Chief of Staff
,Deputy Mayor for Administration and Chief of Staff
{'url': 'https://www.momaps1.org/'},
{'url': 'https://www.nyc.gov/site/partnerships/index.page'},
{'url': 'https://www.nyc.gov/site/dhs/index.page'},Department of Social Services
{'url': 'https://www.nyc.gov/site/nonprofits/about/advisory-council.page'},
,Deputy Mayor for Administration and Chief of Staff
{'url': 'https://www.nycsca.org/'},Deputy Mayor for Operations
{'url': 'https://www.nyc.gov/site/publicrealm/index.page'},
{'url': 'https://www.prospectpark.org/'},
{'url': 'https://www.nyc.gov/assets/mwbe/'},First Deputy Mayor
{'url': 'https://www.nyc.gov/site/wkdev/index.page'},Deputy Mayor of Housing Economic and Workforce Development
{'url': 'https://www.lct.org/'},
{'url': 'https://www.nyc.gov/site/doi/index.page'},Mayor
{'url': 'https://www.nyc.gov/site/ocdv/index.page'},Deputy Mayor for Health and Human Services
,First Deputy Mayor
{'url': 'https://www.nyc.gov/site/mome/index.page'},Deputy Mayor of Housing Economic and Workforce Development
{'url': 'https://www.nyc.gov/site/finance/index.page'},First Deputy Mayor
{'url': 'https://www.nyc.gov/site/districting/index.page'},
{'url': 'https://www.nycers.org/'},
{'url': 'https://www.trsnyc.org'},
{'url': 'https://www.nyc.gov/site/ccpc/index.page'},Chief Counsel to the Mayor and City Hall
{'url': 'https://edc.nyc/press-release/nycedc-announces-new-york-citys-first-ever-green-economy-advisory-council'},
{'url': 'https://www.nyc.gov/site/actuary/index.page'},
