name,principal_officer_full_name,principal_officer_first_name,alternate_or_former_acronyms,in_org_chart,listed_in_nyc_gov_agency
Wave Hill,Ray B. Oladapo-Johnson,Ray,,False,False
New York City Taxi and Limousine Commission,David Do,David,NYC TLC,True,True
New York City Tourism + Conventions,Julie Coker,Julie,,True,True
Youth Board,,,,False,False
Kings County Public Administrator,"Kerry D. Archer, ESQ",Kerry,,False,True
Office of the City Clerk,Michael McSweeney,Michael,,True,True
Civilian Complaint Review Board,Jonathan Darche,Jonathan,,True,True
Board of Elections,Michael J. Ryan,Michael,,False,True
Mayor's Office of Pensions and Investments,Bryan Berge,Bryan,,True,True
Snug Harbor Cultural Center and Botanical Garden,Jessica Baker Vodoor,Jessica,,False,False
Board of Health,,,,False,False
NYC HER Future,Nathifa Forde,Nathifa,,True,True
Forest Park Trust,,,,False,False
Cultural Institutions Retirement System,Richard Scheer,Richard,,False,True
Staten Island District Attorney's Office,Michael E. McMahon,Michael,,True,True
Weeksville Heritage Center,Raymond Codrington,Raymond,,False,False
New York City Young Men's Initiative,,,,True,True
New York City Children's Cabinet,Ahsia Badi,Ahsia,,True,True
Staten Island Historical Society,Jessica B. Phillips,Jessica,,False,False
Mayor's Office of Food Policy,Kate MacKenzie,Kate,,True,True
New York City Housing Authority Board,,,,False,False
Trust for Cultural Resources,,,,False,False
Mayor's Press Office,Kayla Mamelak Altus,Kayla,,True,True
Pay Equity Cabinet,,,,False,False
Mayor's Office of Innovation and Emerging Markets,Denise Felipe-Adams and Jonathan Salomons,,,True,True
Voter Assistance Advisory Committee,,,,False,False
Tax Appeals Tribunal,,,,False,True
Office of Capital Project Development,,,,True,False
New York Botanical Garden,Jennifer Bernstein,Jennifer,,False,False
Bronx Museum of the Arts,Shamim M. Momin,Shamim,,False,False
New York City Housing Authority,Lisa Bova-Hiatt,Lisa,,True,True
Mayor's Office of Operations,Daniel Steinberg,Daniel,,True,True
Commission on Racial Equity,Linda Tigani,Linda,,False,False
New York City Public Schools,Melissa Aviles-Ramos,Melissa,DOE,True,True
Department of Design and Construction,Eduardo del Valle,Eduardo,,True,True
Jazz at Lincoln Center,Wynton Marsalis,Wynton,,False,False
Office of Asylum Seeker Operations,Molly Schaeffer,Molly,,True,True
Mayor's Office of Administrative Services,Mir Bashar,Mir,,True,True
Panel on Educational Policy,,,,False,False
MWBE Advisory Board,,,,False,False
Flushing Council on Culture and the Arts / Flushing Town Hall,Ellen Kodadek,Ellen,,False,False
Office of Nightlife,Jeffrey Garcia,Jeffrey,,False,False
Trust for Governors Island,Clare Newman,Clare,,False,False
Metropolitan Transportation Authority,Janno Lieber,Janno,,False,False
Museum of Modern Art,Glenn D. Lowry,Glenn,,False,False
Board of Standards and Appeals,Carlo Costanza,Carlo,,False,True
Workforce Development Council,,,,False,False
New York Hall of Science,Lisa J. Gugenheim,Lisa,,False,False
Department of Records and Information Services,Pauline Toole,Pauline,DoRIS,True,True
Mayor's Advisory Committee on the Judiciary,Ayanna Sorett,Ayanna,,True,True
City Commission on Human Rights,Annabel Palma,Annabel,,True,True
New York City Center,Michael S. Rosenberg,Michael,,False,False
Mayor's Office of Community Mental Health,Eva Wong,Eva,OCMH,True,True
Chief Climate Officer,Rohit Aggarwala,Rohit,,True,True
New York City Department of Sanitation,Javier Lojan,Javier,,True,True
Department of Social Services,Molly Wasow Park,Molly,,True,True
Fund for Public Schools,Stephen Cockrell,Stephen,,False,False
New York City Public Housing Preservation Trust,Vlada Kenniff,Vlada,,False,False
Tobacco Settlement Asset Securitization Corporation,David Womack,David,,False,False
Human Resources Administration,Scott French,Scott,,True,True
HIV/AIDS Services Advisory Board,,,,False,False
Bronx County Public Administrator,Danielle S. Powell,Danielle,,False,True
