record_id,name,name_alphabetized,principal_officer_last_name,alternate_or_former_names
NYC_GOID_000201,Get Stuff Built Advisory Board,Get Stuff Built Advisory Board,Holbrook,
NYC_GOID_000174,Domestic Violence Fatality Review Committee,Domestic Violence Fatality Review Committee,,
NYC_GOID_000262,Mayor's Office of Climate and Environmental Justice,"Climate and Environmental Justice, Mayor's Office of",Hutchinson,
NYC_GOID_000405,Randall's Island Park Alliance,Randall's Island Park Alliance,Maher,
NYC_GOID_000078,New York City Ballet,"Ballet, New York City",Brown,
NYC_GOID_100010,Cyber Command,Cyber Command,Moan,NYC Cyber Command
NYC_GOID_000141,Department of Cultural Affairs,"Cultural Affairs, Department of",Cumbo,
NYC_GOID_000278,Mayor's Office of Special Projects and Community Events,"Special Projects and Community Events, Mayor's Office of",Moynihan,
NYC_GOID_000021,Board of Correction,"Correction, Board of",Georges-Yilla,
NYC_GOID_000158,Department of Veterans' Services,"Veterans' Services, Department of",Hendon,
NYC_GOID_100005,Sheriff,Sheriff,Miranda,NYC Sheriff
NYC_GOID_000315,New York City Emergency Management,"Emergency Management, New York City",Iscol,NYC Emergency Management;Office of Emergency Management
NYC_GOID_000171,Queens District Attorney's Office,"District Attorney's Office, Queens",Katz,Queens County District Attorney's Office
NYC_GOID_000215,Housing Development Corporation,Housing Development Corporation,Enderlin,
NYC_GOID_000064,Brooklyn Children's Museum,"Children's Museum, Brooklyn",Edwards,
NYC_GOID_100006,Mayor's Office of Urban Agriculture,"Urban Agriculture, Mayor's Office of",Mickie,
NYC_GOID_000029,Office of the Borough President of Queens,"Borough President, Queens",Richards,
NYC_GOID_000042,Campaign Finance Board,Campaign Finance Board,Ryan,
NYC_GOID_100021,Office of the Chief Medical Examiner,"Chief Medical Examiner, Office of the",Graham,
NYC_GOID_000233,Juvenile Justice Advisory Board,Juvenile Justice Advisory Board,,
NYC_GOID_100002,Office of the Special Narcotics Prosecutor,"Special Narcotics Prosecutor, Office of the",Brennan,
NYC_GOID_000153,Department of Small Business Services,"Small Business Services, Department of",Gross,
NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Greene,
NYC_GOID_000027,Office of the Borough President of Brooklyn,"Borough President, Brooklyn",Reynoso,
NYC_GOID_000246,Deputy Mayor for Administration and Chief of Staff,"Administration and Chief of Staff, Deputy Mayor for",Joseph Varlack,
NYC_GOID_000418,Senior Advisory Council,Senior Advisory Council,,
NYC_GOID_000287,Mayor's Office of Risk Management and Compliance,"Risk Management and Compliance, Mayor's Office of",LeBec,
NYC_GOID_000069,Jamaica Center for Arts and Learning,Jamaica Center for Arts and Learning,Jacobs,
NYC_GOID_000098,City Planning Commission,City Planning Commission,Garodnick,
NYC_GOID_000000,NYC311,NYC311,Morrisroe,311
NYC_GOID_000092,Wave Hill,Wave Hill,Oladapo-Johnson,
NYC_GOID_000436,New York City Taxi and Limousine Commission,"Taxi and Limousine Commission, New York City",Do,Taxi and Limousine Commission
NYC_GOID_000310,New York City Tourism + Conventions,"Tourism + Conventions, New York City",Coker,NYC & Company
NYC_GOID_100026,Youth Board,Youth Board,,
NYC_GOID_000234,Kings County Public Administrator,"Public Administrator, Kings County",Archer,
NYC_GOID_100009,Office of the City Clerk,"City Clerk, Office of the",McSweeney,
NYC_GOID_000105,Civilian Complaint Review Board,Civilian Complaint Review Board,Darche,
NYC_GOID_000023,Board of Elections,"Elections, Board of",Ryan,
NYC_GOID_000275,Mayor's Office of Pensions and Investments,"Pensions and Investments, Mayor's Office of",Berge,
NYC_GOID_000086,Snug Harbor Cultural Center and Botanical Garden,Snug Harbor Cultural Center and Botanical Garden,Baker Vodoor,
NYC_GOID_000024,Board of Health,"Health, Board of",,
NYC_GOID_100004,NYC HER Future,NYC HER Future,Forde,
NYC_GOID_000196,Forest Park Trust,Forest Park Trust,,
NYC_GOID_000130,Cultural Institutions Retirement System,Cultural Institutions Retirement System,Scheer,
