location_name,multi_racial_expulsions,black_superintendent,white_superintendent,unknown_expulsions,asian_removals,administrative_district,asian_expulsions,unknown_removals,hispanic_superintendent,sy1617_total_removals_suspensions,hispanic_removals,multi_racial_principal,black_expulsions,white_expulsions
The 47 American Sign Language & English Lower Scho,R,R,R,R,R,2,R,R,R,11,6,R,R,R
Urban Academy Laboratory High School,R,R,R,R,R,2,R,R,R,0,R,R,R,R
P.S. 234 Independence School,R,R,R,R,R,2,R,R,R,10,R,R,R,R
P.S. 116 Mary Lindley Murray,R,R,R,R,R,2,R,R,R,20,R,R,R,R
High School for Health Professions and Human Servi,R,R,R,R,R,2,R,R,R,81,R,R,R,R
Wadleigh Secondary School for the Performing & Vis,R,R,R,R,R,3,R,R,R,R,R,R,R,R
P.S. 166 The Richard Rodgers School of The Arts an,R,R,R,R,R,3,R,R,R,8,R,R,R,R
"Facing History School, The",R,R,R,R,R,2,R,R,R,40,R,R,R,R
Emma Lazarus High School,R,R,R,R,R,2,R,R,R,R,R,R,R,R
The Children's Workshop School,R,R,R,R,R,1,R,R,R,R,R,R,R,R
P.S. 149 Sojourner Truth,R,6,R,R,R,3,R,R,R,16,R,R,R,R
P.S. 001 Alfred E. Smith,R,R,R,R,R,2,R,R,R,9,6,R,R,R
P.S. 033 Chelsea Prep,R,R,R,R,R,2,R,R,R,12,R,R,R,R
"Urban Assembly School of Design and Construction,",R,R,R,R,R,2,R,R,R,16,R,R,R,R
"Technology, Arts, and Sciences Studio",R,R,R,R,R,1,R,R,R,23,R,R,R,R
Institute for Collaborative Education,R,R,R,R,R,2,R,R,R,R,R,R,R,R
Tompkins Square Middle School,R,R,R,R,R,1,R,R,R,6,R,R,R,R
P.S. 242 - The Young Diplomats Magnet Academy,R,R,R,R,R,3,R,R,R,13,R,R,R,R
P.S. 007 Samuel Stern,R,R,R,R,R,4,R,R,R,R,R,R,R,R
"New Explorations into Science, Technology and Math",R,R,R,R,R,1,R,R,R,18,R,R,R,R
J.H.S. 167 Robert F. Wagner,R,R,R,R,R,2,R,R,R,89,R,R,R,R
Hudson High School of Learning Technologies,R,R,R,R,R,2,R,R,R,80,R,R,R,R
Bard High School Early College,R,R,R,R,R,1,R,R,R,0,R,R,R,R
Forsyth Satellite Academy,R,R,R,R,R,1,R,R,R,0,R,R,R,R
Business Of Sports School,R,R,R,R,R,2,R,R,R,78,R,R,R,R
High School of Arts and Technology,R,R,R,R,R,3,R,R,R,110,R,R,R,R
Talent Unlimited High School,R,R,R,R,R,2,R,R,R,R,R,R,R,R
Innovation Diploma Plus,R,R,R,R,R,3,R,R,R,44,R,R,R,R
Edward A. Reynolds West Side High School,R,R,R,R,R,3,R,R,R,R,R,R,R,R
P.S. 126 Jacob August Riis,R,R,R,R,R,2,R,R,R,12,R,R,R,R
Essex Street Academy,R,R,R,R,R,2,R,R,R,14,R,R,R,R
P.S. 034 Franklin D. Roosevelt,R,R,R,R,R,1,R,R,R,R,R,R,R,R
M.S. 243 Center School,R,R,R,R,R,3,R,R,R,0,R,R,R,R
Manhattan International High School,R,R,R,R,R,2,R,R,R,9,R,R,R,R
P.S. 150,R,R,R,R,R,2,R,R,R,0,R,R,R,R
Frederick Douglass Academy II Secondary School,R,R,R,R,R,3,R,R,R,160,R,R,R,R
Jacqueline Kennedy Onassis High School,R,R,R,R,R,2,R,R,14,81,9,R,R,R
NYC iSchool,R,R,R,R,R,2,R,R,R,21,R,R,R,R
Orchard Collegiate Academy,R,R,R,R,R,1,R,R,R,11,R,R,R,R
Urban Assembly Gateway School for Technology,R,R,R,R,R,2,R,R,R,25,R,R,R,R
Gramercy Arts High School,R,R,R,R,R,2,R,R,R,67,R,R,R,R
Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,R,R,R,2,R,R,R,49,R,R,R,R
East Side Middle School,R,R,R,R,R,2,R,R,R,10,R,R,R,R
P.S. 191 Amsterdam,R,10,R,R,R,3,R,R,R,23,R,R,R,R
Washington Irving Yabc,R,R,R,R,R,2,R,R,R,R,R,R,R,R
M.S. 131,R,R,R,R,R,2,R,R,R,24,R,R,R,R
M.S. M245 The Computer School,R,R,R,R,R,3,R,R,R,R,R,R,R,R
West Prep Academy,R,R,R,R,R,3,R,R,R,47,R,R,R,R
Murray Hill Academy,R,R,R,R,R,2,R,R,R,58,R,R,R,R
N.Y.C. Museum School,R,R,R,R,R,2,R,R,R,15,R,R,R,R
P.S. 075 Emily Dickinson,R,R,R,R,R,3,R,R,R,6,R,R,R,R
Richard R. Green High School of Teaching,R,13,R,R,R,2,R,R,R,43,R,R,R,R
J.H.S. 054 Booker T. Washington,R,R,R,R,R,3,R,R,R,46,R,R,R,R
Battery Park City School,R,R,R,R,R,2,R,R,R,34,R,R,R,R
P.S. 212 Midtown West,R,R,R,R,R,2,R,R,R,0,R,R,R,R
Eleanor Roosevelt High School,R,R,R,R,R,2,R,R,R,R,R,R,R,R
P.S. 184m Shuang Wen,R,R,R,R,R,1,R,R,R,0,R,R,R,R
P.S. 110 Florence Nightingale,R,R,R,R,R,1,R,R,R,R,R,R,R,R
Unity Center for Urban Technologies,R,R,R,R,R,2,R,R,R,R,R,R,R,R
Community Action School - MS 258,R,11,R,R,R,3,R,R,R,69,R,R,R,R
Stuyvesant High School,R,R,R,R,R,2,R,R,R,45,R,R,R,R
The Urban Assembly School for Emergency Management,R,R,R,R,R,2,R,R,R,76,23,R,R,R
P.S. 452,R,R,R,R,R,3,R,R,R,R,R,R,R,R
Food and Finance High School,R,7,R,R,R,2,R,R,R,19,R,R,R,R
Baruch College Campus High School,R,R,R,R,R,2,R,R,R,7,R,R,R,R
M.S. 255 Salk School of Science,R,R,R,R,R,2,R,R,R,8,R,R,R,R
