dbn,unknown_principal,white_principal,multi_racial_removals,multi_racial_superintendent,location_category,hispanic_expulsions,asian_principal,black_principal,asian_superintendent,american_indian_alaskan_native_removals,unknown_superintendent
02M104,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
01M064,R,R,R,R,Elementary,R,R,R,R,R,R
02M177,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M439,R,R,R,R,High school,R,R,R,R,R,R
02M438,R,R,R,R,High school,R,R,R,R,R,R
03M165,R,R,R,R,K-8,R,R,R,R,R,R
02M933,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
03M492,R,R,R,R,High school,R,R,11,R,R,R
01M188,R,R,R,R,K-8,R,R,R,R,R,R
02M260,R,R,R,R,Secondary School,R,R,R,R,R,R
03M307,R,R,R,R,High school,R,R,13,R,R,R
02M546,R,R,R,R,High school,R,R,R,R,R,R
02M545,R,R,R,R,High school,R,R,R,R,R,R
02M655,R,R,R,R,Secondary School,R,R,21,R,R,R
02M449,R,R,R,R,High school,R,R,R,R,R,R
02M551,R,9,R,R,High school,R,R,11,R,R,R
02M343,R,R,R,R,Elementary,R,R,R,R,R,R
03M299,R,R,R,R,High school,R,R,36,R,R,R
02M124,R,R,R,R,Elementary,R,7,R,R,R,R
02M047,R,R,R,R,High school,R,R,R,R,R,R
03M208,R,R,R,R,Elementary,R,R,R,R,R,R
02M041,R,R,R,R,Elementary,R,R,R,R,R,R
02M442,R,R,R,R,K-8,R,R,R,R,R,R
02M002,R,R,R,R,Elementary,R,R,R,R,R,R
02M183,R,R,R,R,Elementary,R,R,R,R,R,R
02M570,R,R,R,R,High school,R,R,R,R,R,R
01M332,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M972,R,R,R,R,Central-HQ-Citywide,R,R,R,R,R,R
03M087,R,R,R,R,Elementary,R,R,R,R,R,R
01M363,R,R,R,R,Elementary,R,R,R,R,R,R
02M896,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M003,R,R,R,R,Elementary,R,R,R,R,R,R
01M650,R,R,R,R,High school,R,R,8,R,R,R
03M241,R,R,R,R,Elementary,R,R,R,R,R,R
02M586,R,R,R,R,High school,R,R,R,R,R,R
02M040,R,R,R,R,Elementary,R,R,R,R,R,R
02M313,R,R,R,R,High school,R,R,R,R,R,R
01M509,R,R,R,R,High school,R,R,13,R,R,R
01M134,R,R,R,R,Elementary,R,R,R,R,R,R
02M893,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
03M485,R,7,R,R,High school,R,R,R,R,R,R
02M289,R,R,R,R,Junior High-Intermediate-Middle,R,7,R,R,R,R
02M542,R,R,R,R,High school,R,R,R,R,R,R
02M397,R,R,R,R,K-8,R,R,R,R,R,R
02M282,R,R,R,R,High school,R,R,6,R,R,R
02M527,R,R,R,R,Elementary,R,R,R,R,R,R
03M333,R,R,R,R,K-8,R,R,R,R,R,R
02M391,R,R,R,R,District Pre-K Center,R,R,R,R,R,R
02M089,R,R,R,R,Elementary,R,R,R,R,R,R
02M489,R,R,R,R,High school,R,R,R,R,R,R
02M615,R,R,R,R,High school,R,R,6,R,R,R
03M199,R,R,R,R,Elementary,R,R,R,R,R,R
02M011,R,R,R,R,Elementary,R,R,R,R,R,R
02M198,R,R,R,R,Elementary,R,R,R,R,R,R
03M291,R,R,R,R,Secondary School,R,R,R,R,R,R
02M425,R,R,R,R,High school,R,R,23,R,R,R
01M015,R,R,R,R,Elementary,R,R,R,R,R,R
02M006,R,R,R,R,Elementary,R,R,R,R,R,R
03M862,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M392,R,R,R,R,High school,R,R,24,R,R,R
03M403,R,R,R,R,High school,R,R,R,R,R,R
02M130,R,R,R,R,Elementary,R,R,R,R,R,R
03M402,R,R,R,R,High school,R,R,33,R,R,R
02M290,R,R,R,R,Elementary,R,R,R,R,R,R
02M308,R,R,R,R,High school,R,R,R,R,R,R
01M450,R,R,R,R,Secondary School,R,R,R,R,R,R
03M180,R,R,R,R,K-8,R,R,R,R,R,R
