dbn,location_name,white_removals,hispanic_principal,american_indian_alaskan_native_principal,black_removals,american_indian_alaskan_native_expulsions,american_indian_alaskan_native_superintendent
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,R,R,R,R,R,R
04M012,Tag Young Scholars,R,R,R,R,R,R
02M298,Pace High School,R,13,R,9,R,R
01M378,School for Global Leaders,R,R,R,R,R,R
03M541,Manhattan / Hunter Science High School,R,R,R,R,R,R
01M515,Lower East Side Preparatory High School,R,R,R,R,R,R
02M051,P.S. 051 Elias Howe,R,R,R,R,R,R
02M575,Manhattan Comprehensive Night and Day High School,R,R,R,R,R,R
03M479,Beacon High School,R,R,R,R,R,R
04M037,River East Elementary,R,R,R,R,R,R
02M422,Quest to Learn,R,25,R,R,R,R
01M063,The STAR Academy - P.S.63,R,R,R,R,R,R
03M145,"P.S. 145, The Bloomingdale School",R,R,R,R,R,R
03M250,M.S. 250 West Side Collaborative Middle School,R,12,R,R,R,R
03M417,Frank Mccourt High School,R,R,R,R,R,R
02M534,Harvest Collegiate High School,R,11,R,R,R,R
02M605,Humanities Preparatory Academy,R,R,R,R,R,R
02M630,Art and Design High School,R,15,R,R,R,R
02M902,Washington Irving Evng Hs T/R @NTHS,R,R,R,R,R,R
03M084,P.S. 084 Lillian Weber,R,R,R,10,R,R
03M185,P.S. 185 - The Early Childhood Discovery and Desig,R,R,R,R,R,R
03M256,M.S. 256 Academic & Athletic Excellence,R,R,R,17,R,R
02M280,Manhattan Early College School for Advertising,R,20,R,R,R,R
02M316,"Urban Assembly School of Business for Young Women,",R,7,R,10,R,R
02M400,High School for Environmental Studies,R,58,R,R,R,R
02M600,The High School of Fashion Industries,R,R,R,R,R,R
02M267,"East Side Elementary School, PS 267",R,R,R,R,R,R
02M111,P.S. 111 Adolph S. Ochs,R,R,R,R,R,R
03M859,Special Music School,R,R,R,R,R,R
02M408,Professional Performing Arts High School,R,R,R,R,R,R
02M042,P.S. 042 Benjamin Altman,R,R,R,R,R,R
02M531,Repertory Company High School for Theatre Arts,R,R,R,R,R,R
02M312,New York City Lab Middle School for Collaborative,8,R,R,8,R,R
03M163,P.S. 163 Alfred E. Smith,R,R,R,8,R,R
02M560,High School M560 - City As School,R,R,R,R,R,R
02M340,Sixth Avenue Elementary School,R,R,R,R,R,R
02M158,P.S. 158 Bayard Taylor,12,R,R,R,R,R
02M059,P.S. 059 Beekman Hill International,R,R,R,R,R,R
02M550,Liberty High School Academy for Newcomers,R,6,R,R,R,R
01M020,P.S. 020 Anna Silver,R,R,R,R,R,R
04M038,P.S. 38 Roberto Clemente,R,R,R,R,R,R
03M334,The Anderson School,R,R,R,R,R,R
01M019,P.S. 019 Asher Levy,R,R,R,R,R,R
01M315,The East Village Community School,R,R,R,R,R,R
02M413,School of the Future High School,R,23,R,R,R,R
02M281,The River School,R,R,R,R,R,R
02M399,The High School For Language And Diplomacy,R,6,R,R,R,R
02M151,Yorkville Community School,R,R,R,18,R,R
01M448,University Neighborhood High School,R,R,R,R,R,R
01M140,P.S. 140 Nathan Straus,R,6,R,6,R,R
02M418,Millennium High School,R,R,R,R,R,R
02M412,N.Y.C. Lab School for Collaborative Studies,R,R,R,R,R,R
02M520,Murry Bergtraum High School for Business Careers,R,R,R,R,R,R
03M009,P.S. 009 Sarah Anderson,R,R,R,R,R,R
02M296,High School of Hospitality Management,R,40,9,8,R,R
02M225,Ella Baker School,R,R,R,R,R,R
01M142,P.S. 142 Amalia Castro,R,R,R,R,R,R
02M543,New Design High School,R,6,R,R,R,R
02M077,P.S. 77 Lower Lab School,R,R,R,R,R,R
03M076,P.S. 076 A. Philip Randolph,R,R,R,30,R,R
02M305,"Urban Assembly Academy of Government and Law, The",R,43,R,R,R,R
03M247,M.S. M247 Dual Language Middle School,R,R,R,R,R,R
02M217,P.S./I.S. 217 Roosevelt Island,10,R,R,R,R,R
02M533,Union Square Academy for Health Sciences,R,21,R,R,R,R
02M544,Independence High School,R,R,R,R,R,R
01M364,Earth School,R,R,R,R,R,R
02M419,Landmark High School,R,R,R,R,R,R
